"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","Month"
2008,"ACT","All regions","All ages","mobile_phone_use","Police issued",2060,0,0,"01"
2008,"NSW","All regions","All ages","mobile_phone_use","Police issued",40882,0,0,"01"
2008,"NSW","All regions","All ages","speed_fines","Camera Issued",590408,0,0,"01"
2008,"NT","All regions","All ages","mobile_phone_use","Police issued",671,0,0,"01"
2008,"NT","All regions","All ages","speed_fines","Camera Issued",23865,0,0,"01"
2008,"QLD","All regions","All ages","mobile_phone_use","Police issued",28499,0,0,"01"
2008,"QLD","All regions","All ages","speed_fines","Camera Issued",502886,0,0,"01"
2008,"SA","All regions","All ages","mobile_phone_use","Police issued",11411,0,0,"01"
2008,"SA","All regions","All ages","speed_fines","Camera Issued",119500,0,0,"01"
2008,"TAS","All regions","All ages","mobile_phone_use","Police issued",6780,0,0,"01"
2008,"TAS","All regions","All ages","speed_fines","Camera Issued",59962,0,0,"01"
2008,"VIC","All regions","All ages","mobile_phone_use","Police issued",49739,0,0,"01"
2008,"VIC","All regions","All ages","speed_fines","Camera Issued",1114036,0,0,"01"
2008,"WA","All regions","All ages","mobile_phone_use","Police issued",15957,0,0,"01"
2008,"WA","All regions","All ages","speed_fines","Camera Issued",228822,0,0,"01"
2009,"ACT","All regions","All ages","mobile_phone_use","Police issued",1890,0,0,"01"
2009,"NSW","All regions","All ages","mobile_phone_use","Police issued",41167,0,0,"01"
2009,"NSW","All regions","All ages","speed_fines","Camera Issued",513616,0,0,"01"
2009,"NT","All regions","All ages","mobile_phone_use","Police issued",1106,0,0,"01"
2009,"NT","All regions","All ages","speed_fines","Camera Issued",19893,0,0,"01"
2009,"QLD","All regions","All ages","mobile_phone_use","Police issued",33352,0,0,"01"
2009,"QLD","All regions","All ages","speed_fines","Camera Issued",475870,0,0,"01"
2009,"SA","All regions","All ages","mobile_phone_use","Police issued",14167,0,0,"01"
2009,"SA","All regions","All ages","speed_fines","Camera Issued",107676,0,0,"01"
2009,"TAS","All regions","All ages","mobile_phone_use","Police issued",5665,0,0,"01"
2009,"TAS","All regions","All ages","speed_fines","Camera Issued",67768,0,0,"01"
2009,"VIC","All regions","All ages","mobile_phone_use","Police issued",53101,0,0,"01"
2009,"VIC","All regions","All ages","speed_fines","Camera Issued",1136590,0,0,"01"
2009,"WA","All regions","All ages","mobile_phone_use","Police issued",14804,0,0,"01"
2009,"WA","All regions","All ages","speed_fines","Camera Issued",254858,0,0,"01"
2010,"ACT","All regions","All ages","mobile_phone_use","Police issued",2407,0,0,"01"
2010,"ACT","All regions","All ages","speed_fines","Camera Issued",58705,0,0,"01"
2010,"NSW","All regions","All ages","mobile_phone_use","Police issued",51104,0,0,"01"
2010,"NSW","All regions","All ages","speed_fines","Camera Issued",390746,0,0,"01"
2010,"NT","All regions","All ages","mobile_phone_use","Police issued",998,0,0,"01"
2010,"NT","All regions","All ages","speed_fines","Camera Issued",26775,0,0,"01"
2010,"QLD","All regions","All ages","mobile_phone_use","Police issued",33013,0,0,"01"
2010,"QLD","All regions","All ages","speed_fines","Camera Issued",440622,0,0,"01"
2010,"SA","All regions","All ages","mobile_phone_use","Police issued",14139,0,0,"01"
2010,"SA","All regions","All ages","speed_fines","Camera Issued",91335,0,0,"01"
2010,"TAS","All regions","All ages","mobile_phone_use","Police issued",3735,0,0,"01"
2010,"TAS","All regions","All ages","speed_fines","Camera Issued",37376,0,0,"01"
2010,"VIC","All regions","All ages","mobile_phone_use","Police issued",54728,0,0,"01"
2010,"VIC","All regions","All ages","speed_fines","Camera Issued",1172460,0,0,"01"
2010,"WA","All regions","All ages","mobile_phone_use","Police issued",11705,0,0,"01"
2010,"WA","All regions","All ages","speed_fines","Camera Issued",300344,0,0,"01"
2011,"ACT","All regions","All ages","mobile_phone_use","Police issued",2284,0,0,"01"
2011,"ACT","All regions","All ages","speed_fines","Camera Issued",56719,0,0,"01"
2011,"NSW","All regions","All ages","mobile_phone_use","Police issued",46714,0,0,"01"
2011,"NSW","All regions","All ages","speed_fines","Camera Issued",389649,0,0,"01"
2011,"NT","All regions","All ages","mobile_phone_use","Police issued",729,0,0,"01"
2011,"NT","All regions","All ages","speed_fines","Camera Issued",24633,0,0,"01"
2011,"QLD","All regions","All ages","mobile_phone_use","Police issued",30389,0,0,"01"
2011,"QLD","All regions","All ages","speed_fines","Camera Issued",588714,0,0,"01"
2011,"SA","All regions","All ages","mobile_phone_use","Police issued",13402,0,0,"01"
2011,"SA","All regions","All ages","speed_fines","Camera Issued",61859,0,0,"01"
2011,"TAS","All regions","All ages","mobile_phone_use","Police issued",3241,0,0,"01"
2011,"TAS","All regions","All ages","speed_fines","Camera Issued",24427,0,0,"01"
2011,"VIC","All regions","All ages","mobile_phone_use","Police issued",52630,0,0,"01"
2011,"VIC","All regions","All ages","speed_fines","Camera Issued",1151555,0,0,"01"
2011,"WA","All regions","All ages","mobile_phone_use","Police issued",10485,0,0,"01"
